title,link
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
N. Ireland Politics,https://www.bbc.com/news/northern_ireland/northern_ireland_politics
Scotland Politics,https://www.bbc.com/news/scotland/scotland_politics
Wales Politics,https://www.bbc.com/news/wales/wales_politics
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
China,https://www.bbc.com/news/world/asia/china
India,https://www.bbc.com/news/world/asia/india
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
White House pushes back after reports Trump is named in Epstein filesIt came as a US judge denied a justice department's bid to unseal Florida court files on Epstein.2 hrs agoUS & Canada,https://www.bbc.com/news/articles/cwyq921zqqzo
Why Filipinos keep getting married in flooded churchesThe submerged weddings highlight a flooding problem that the country can't shake off.11 hrs agoAsia,https://www.bbc.com/news/articles/cn9y02rn7pzo
"Can you un-bleach coral? BBC visits remote reef to find outThe BBC's Katy Watson went to Australia's Ningaloo reef, the site of a mass bleaching event, to find out if the damage can be undone.7 hrs agoAustralia",https://www.bbc.com/news/videos/c1e0x26gl5go
Australian women win right to sue Qatar Airways over invasive searchesThe women were strip-searched and invasively examined after a baby was found at Doha airport in 2020.6 hrs agoAustralia,https://www.bbc.com/news/articles/c4g8nn3exn5o
White House pushes back after reports Trump is named in Epstein filesIt came as a US judge denied a justice department's bid to unseal Florida court files on Epstein.2 hrs agoUS & Canada,https://www.bbc.com/news/articles/cwyq921zqqzo
Starmer and Modi to sign £6bn India-UK trade dealThe free trade deal is expected to cut tariffs on goods and increase market access for both countries.26 mins agoAsia,https://www.bbc.com/news/articles/c307ggj492vo
EU-China summit kicks off under shadow of fraught tiesExpectations from the summit have been tempered by uncertainty over global trade and politics.6 hrs agoWorld,https://www.bbc.com/news/articles/clyxk4ywppzo
Why Filipinos keep getting married in flooded churchesThe submerged weddings highlight a flooding problem that the country can't shake off.11 hrs agoAsia,https://www.bbc.com/news/articles/cn9y02rn7pzo
Australia to lift import ban on US beef after Trump tariffs tiff,https://www.bbc.com/news/articles/cn813m73x5zo
"In a Haitian city ruled by gangs, young rape survivor raises baby she was told to abort",https://www.bbc.com/news/articles/c07d3m3xk32o
Wreckage found after plane carrying 48 people goes down in Russian far east,https://www.bbc.com/news/articles/c99490m97epo
"Just 7,000 steps a day cuts health risks, study says",https://www.bbc.com/news/articles/cx238lgy3pwo
They made America's clothing. Now they are getting punished for it.Apparel hubs like Cambodia and Sri Lanka are heavily dependent on the US as an export market.11 hrs agoAsia,https://www.bbc.com/news/articles/cy9xw5vrvevo
"A mother's heartbreak: The unresolved mystery of missing Indian studentA student of India's JNU university, Najeeb Ahmed went missing in 2016. A court now has closed the case.10 hrs agoAsia",https://www.bbc.com/news/articles/cp82x0d9ze7o
"'Come hug it out!' - How a Canadian tourism ad went viralThe video features an embrace between a Canadian concierge and an American tourist, amid shifting US-Canada relations under President Trump.10 hrs agoUS & Canada",https://www.bbc.com/news/videos/cp863evk31xo
'I did my best': Teacher dies after rescuing 20 kids from Bangladesh plane crashMahreen Chowdhury suffered burns to almost 100% of her body while saving students from the crash site.16 mins agoAsia,https://www.bbc.com/news/articles/cy0wxxx9dg8o
Verdict expected in Hockey Canada sexual assault trial - what to knowA judge on Thursday will deliver her verdict in the sexual assault trial of five former members of Canada's 2018 world junior ice hockey team.11 hrs agoUS & Canada,https://www.bbc.com/news/articles/cdxv71v5lq2o
"A mother's heartbreak: The unresolved mystery of missing Indian studentA student of India's JNU university, Najeeb Ahmed went missing in 2016. A court now has closed the case.10 hrs agoAsia",https://www.bbc.com/news/articles/cp82x0d9ze7o
What the US-Japan deal means for Asia and the worldAn agreement gives firms certainty after months of chaos from Donald Trump's tariff policy.22 hrs agoBusiness,https://www.bbc.com/news/articles/cx2v9q8e0vjo
Why Filipinos keep getting married in flooded churchesThe submerged weddings highlight a flooding problem that the country can't shake off.11 hrs agoAsia,https://www.bbc.com/news/articles/cn9y02rn7pzo
"'Come hug it out!' - How a Canadian tourism ad went viralThe video features an embrace between a Canadian concierge and an American tourist, amid shifting US-Canada relations under President Trump.10 hrs agoUS & Canada",https://www.bbc.com/news/videos/cp863evk31xo
1'Come hug it out!' - How a Canadian tourism ad went viral,https://www.bbc.com/news/videos/cp863evk31xo
2Can you un-bleach coral? BBC visits remote reef to find out,https://www.bbc.com/news/videos/c1e0x26gl5go
3Watch: 'Living is how I honour them' - Families address Idaho murderer,https://www.bbc.com/news/videos/c5yp1r29nr9o
